Resource ID,Service Name,Usage Quantity,Usage Unit,Region/Zone,CPU Utilization (%),Memory Utilization (%),Network Inbound Data (Bytes),Network Outbound Data (Bytes),Usage Start Date,Usage End Date,Cost per Quantity ($),Unrounded Cost ($),Rounded Cost ($),Total Cost (INR)
res-05LVI8W6,Cloud Data Fusion,969.2377,GB,asia-east1,75.63,26.47,66245831479,68572243374,08-08-2024 07:07,11-08-2024 05:18,3.68,3566.79,3567,296061
res-X8HLQJGR,Kubernetes Engine,41,Hours,southamerica-east1,12.48,86.83,67740447477,72345991079,27-07-2024 15:14,29-07-2024 08:14,9.52,390.32,390,32370
res-NG4EDZQN,Compute Engine,29.4333,Hours,asia-east1,42.37,10.16,59618341689,62544877344,15-07-2024 08:52,16-07-2024 14:18,2.46,72.41,72,5976
res-AK01OOOD,Cloud Build,527.2681,Requests,asia-northeast1,61.56,43.96,26482469626,27726221853,04-07-2024 11:56,08-07-2024 22:22,8.95,4719.05,4719,391677
res-X0MRQ1EA,Pub/Sub,479.0396,GB,us-west1,42.92,44.41,85684453033,92660908223,13-08-2024 04:32,18-08-2024 04:13,9.37,4488.6,4489,372587
res-QC42LBFL,Cloud Interconnect,380.5532,GB,europe-north1,72.64,5.69,38592698190,43204718062,07-07-2024 04:23,10-07-2024 13:01,1.44,548,548,45484
res-VK89NCIB,AI Platform,85.9833,Hours,asia-east1,53.92,87.64,62733736295,63469831841,22-07-2024 10:33,26-07-2024 00:32,5.13,441.09,441,36603
res-KH6Q1KUH,Cloud Build,229.8575,GB,europe-west1,57.46,77.24,38855757756,47760727242,13-08-2024 03:34,18-08-2024 15:06,6.93,1592.91,1593,132219
res-R4MY6SNT,AI Platform,40.5167,Hours,australia-southeast1,72.28,1.07,66864225934,75372480341,04-07-2024 09:45,06-07-2024 02:16,1.69,68.47,68,5644
res-ZOGT34FS,Kubernetes Engine,83.7833,Hours,us-west1,76.93,36.58,8648174636,11656487141,06-08-2024 18:56,10-08-2024 06:43,3.78,316.7,317,26311
res-F9SA2UW2,Firestore,951.3968,Requests,us-west1,12.4,54.56,77197161447,83422102658,17-07-2024 00:26,21-07-2024 09:36,6.63,6307.76,6308,523564
res-PEEXNBZM,Cloud Endpoints,70.2611,GB,europe-north1,79.35,87.01,25349910366,34833914449,18-08-2024 09:16,21-08-2024 19:17,2.98,209.38,209,17347
res-GTEJU4UK,Cloud NAT,238.7864,Requests,northamerica-northeast1,5.93,62.48,57070039373,58938060747,10-07-2024 13:30,13-07-2024 21:00,8.27,1974.76,1975,163925
res-WFOF16UH,Cloud Load Balancing,922.9486,Requests,europe-west3,76.92,85.55,65876897775,70949514077,14-08-2024 17:10,15-08-2024 17:23,8.95,8260.39,8260,685580
res-2SCCW6WM,Pub/Sub,725.2437,Requests,southamerica-east1,8.5,97.79,53813909020,59457074076,02-08-2024 20:29,05-08-2024 20:48,1.08,783.26,783,64989
res-QD3IBKRP,Cloud Run,105.8667,Hours,australia-southeast1,61.54,32.76,61905026501,69711964110,19-08-2024 17:28,24-08-2024 03:20,5.77,610.85,611,50713
res-86KNN8SR,AI Platform,104.3167,Hours,europe-west3,68.9,78.67,97238146056,1.0002E+11,08-08-2024 03:39,12-08-2024 11:58,4.78,498.63,499,41417
res-1055YKL2,Cloud VPN,93.7206,Requests,asia-northeast1,37.37,52.97,84776844257,86967576280,13-08-2024 13:41,17-08-2024 03:15,9.06,849.11,849,70467
res-WAAIIIM2,Cloud VPC,856.1696,GB,asia-east1,91.24,32.24,3379128365,13278666797,21-07-2024 05:23,22-07-2024 06:12,9.55,8176.42,8176,678608
res-F1AKU3HS,Cloud Build,698.9762,Requests,us-east1,57.55,24.88,4379117542,9661924322,07-08-2024 03:26,10-08-2024 14:03,5.51,3851.36,3851,319633
res-GL3BFL4Z,Cloud Interconnect,30.4465,GB,asia-southeast1,99.65,0.11,1657331870,2827341389,03-07-2024 22:41,06-07-2024 18:20,1.52,46.28,46,3818
res-4ZVRCGH1,Cloud Functions,71.3667,Hours,europe-west3,83.66,66.91,63346149998,72045495081,15-07-2024 19:44,18-07-2024 19:06,6.34,452.46,452,37516
res-VH7R6G7G,Cloud VPC,699.0504,Requests,europe-west1,53.13,5.13,99559644545,1.00325E+11,15-07-2024 02:11,20-07-2024 10:09,3.09,2160.07,2160,179280
res-IO7OE2QW,Cloud NAT,511.0128,Requests,asia-east1,11.45,18.5,80653163423,81552719599,17-08-2024 19:52,19-08-2024 22:10,1.23,628.55,629,52207
res-HI37MWQ9,Firestore,169.8362,Requests,us-east1,75.4,25.97,60578679054,62836495997,17-08-2024 20:33,22-08-2024 02:54,8.25,1401.15,1401,116283
res-XXMU8Z57,Compute Engine,77.6,Hours,asia-east1,94.98,41.46,7315814339,16166250549,28-07-2024 09:30,31-07-2024 15:06,9.14,709.26,709,58847
res-G8DQRSLB,Kubernetes Engine,142.6833,Hours,europe-north1,71.19,48.74,71678352875,72257386501,07-07-2024 08:52,13-07-2024 07:33,4.01,572.16,572,47476
res-YB8GRSNJ,Cloud Functions,110.75,Hours,europe-north1,53.2,42.02,53292001133,58798521388,03-08-2024 19:23,08-08-2024 10:08,1.54,170.56,171,14193
res-Q18AS5C1,Dataflow,116.6333,Hours,asia-northeast1,8,11.98,31692931997,33577946780,11-08-2024 04:44,16-08-2024 01:22,3.2,373.23,373,30959
res-NNEGV70F,Container Registry,401.5322,Requests,asia-southeast1,65.74,16.9,50360694511,55594084151,02-08-2024 23:28,05-08-2024 21:54,2.44,979.74,980,81340
res-OGI8DBG9,Cloud NAT,845.8993,GB,southamerica-east1,0.45,17.79,24203029756,26123790688,14-08-2024 04:13,18-08-2024 10:41,4.44,3755.79,3756,311748
res-B4TR1ASK,Cloud Storage,257.9384,GB,us-central1,71.17,8.79,71763559810,72012540203,06-08-2024 18:06,08-08-2024 12:30,1.23,317.26,317,26311
res-3UA97I0E,Pub/Sub,233.7572,GB,europe-west1,24.38,21.32,99690425133,1.08782E+11,30-07-2024 19:34,03-08-2024 16:32,7.19,1680.71,1681,139523
res-VTW7EGMW,Firestore,58.6417,Requests,europe-west3,29.67,59.62,67588218560,76761827056,25-07-2024 22:39,27-07-2024 13:03,3.13,183.55,184,15272
res-2RR6XXID,Cloud VPC,843.6341,GB,asia-northeast1,25.09,27.26,26899850210,28175416976,16-08-2024 19:38,19-08-2024 03:05,7.93,6690.02,6690,555270
res-3JI3YHI8,BigQuery,18.7376,Requests,asia-southeast1,79.92,34.61,14266501219,22415620737,18-08-2024 13:17,22-08-2024 23:13,4.88,91.44,91,7553
res-BZ5W9M5K,AI Platform,42.3,Hours,asia-northeast1,59.91,83.97,23645124707,29861999523,01-07-2024 02:06,02-07-2024 20:24,9.01,381.12,381,31623
res-F3AE7OUB,Cloud Memorystore,22.134,GB,europe-north1,45.38,51.72,91843197769,94169203781,21-07-2024 18:42,26-07-2024 09:54,2.32,51.35,51,4233
res-359KKTUA,Cloud Spanner,586.1986,Requests,southamerica-east1,58.98,64.55,14979783091,18422117013,03-07-2024 00:41,04-07-2024 07:48,1.79,1049.3,1049,87067
res-1MDPME6E,Cloud VPC,296.0929,Requests,us-west1,3.02,62.51,96432133470,1.03298E+11,28-08-2024 13:13,31-08-2024 10:09,2.46,728.39,728,60424
res-EWB6WO2A,BigQuery,233.0245,Requests,us-east1,68.7,40.39,52144618310,58883692028,01-07-2024 00:13,05-07-2024 22:14,8.49,1978.38,1978,164174
res-AG72N60A,Cloud Build,365.1951,GB,us-central1,3.78,67.68,59688317254,65131560182,15-08-2024 10:01,18-08-2024 04:45,6.66,2432.2,2432,201856
res-GYU2G1O4,Cloud Endpoints,743.4157,GB,australia-southeast1,35.5,11.41,52672910291,62148639286,15-08-2024 21:00,18-08-2024 05:25,7.72,5739.17,5739,476337
res-X0KL98G2,Cloud Load Balancing,338.8579,Requests,europe-north1,19.14,61.36,12713936435,19316006416,31-07-2024 11:48,05-08-2024 17:53,2.63,891.2,891,73953
res-HMB0HL0N,Compute Engine,118.4167,Hours,europe-west1,67.77,0.87,65766089414,74996129989,17-08-2024 23:23,22-08-2024 21:48,4.34,513.93,514,42662
res-RL3ZN00U,Cloud Armor,61.0941,GB,asia-east1,47.88,61.95,86373536028,91987231536,05-07-2024 20:36,10-07-2024 08:09,9.86,602.39,602,49966
res-U7QQJ58L,Cloud Storage,698.7765,GB,europe-west1,53.88,17.8,15702113681,16748005664,04-07-2024 21:28,09-07-2024 22:23,2.73,1907.66,1908,158364
res-6B2CMM2G,Cloud Interconnect,328.5871,GB,europe-west1,78.62,96.73,98551362779,1.03968E+11,16-08-2024 14:27,19-08-2024 08:05,6.44,2116.1,2116,175628
res-4TYSS5S3,Cloud Endpoints,478.2343,Requests,asia-northeast1,43.45,69.03,78305234617,86533417392,18-07-2024 16:01,24-07-2024 13:53,1.39,664.75,665,55195
res-Y50DHQFX,Cloud Run,92.4167,Hours,us-central1,81.9,53.13,87648117518,89269249455,06-07-2024 12:26,10-07-2024 08:51,2.56,236.59,237,19671
res-0EVT01ZJ,Container Registry,679.2041,GB,southamerica-east1,98.92,56.01,59160783943,61202982896,21-08-2024 18:56,23-08-2024 03:33,5.3,3599.78,3600,298800
res-BN0T44IH,Cloud Dataproc,280.1796,Requests,asia-southeast1,82.61,97.65,16767803634,24702899081,12-07-2024 15:31,18-07-2024 04:54,6.3,1765.13,1765,146495
res-BPLHVSWK,Cloud Build,416.5054,GB,asia-southeast1,89.32,70.16,78376768286,85710609210,09-07-2024 19:20,15-07-2024 14:47,7.63,3177.94,3178,263774
res-7XIEH2GK,Pub/Sub,810.033,Requests,us-west1,2.97,63.12,31889502464,32098235845,13-08-2024 04:25,15-08-2024 10:22,5.65,4576.69,4577,379891
res-1J7E15GY,Cloud Run,115.0667,Hours,southamerica-east1,54.32,14.47,43700610779,48781743713,08-08-2024 10:21,13-08-2024 05:25,9.26,1065.52,1066,88478
res-0N5EXOOX,Cloud NAT,991.6019,Requests,asia-southeast1,92.88,74.97,32831863634,38701169803,13-07-2024 18:40,19-07-2024 10:47,7,6941.21,6941,576103
res-BUSP3LSD,Dataflow,41.45,Hours,asia-southeast1,88.97,30.12,55443426727,62191421741,23-08-2024 14:27,25-08-2024 07:54,7.46,309.22,309,25647
res-0564S9TF,Cloud Storage,613.0738,Requests,us-east1,32.38,33.94,66431832313,67722022588,23-07-2024 03:21,27-07-2024 00:30,8.28,5076.25,5076,421308
res-43HSMX9Z,Cloud SQL,195.6873,Requests,asia-northeast1,65.79,61.6,66015169910,71506596862,25-07-2024 18:41,27-07-2024 15:18,2.34,457.91,458,38014
res-ON0OFWM0,Cloud VPN,994.9911,Requests,asia-southeast1,36.04,73.63,55869074709,57099202508,12-08-2024 09:20,17-08-2024 08:35,3.33,3313.32,3313,274979
res-736OPXF9,Cloud Run,110.5,Hours,australia-southeast1,54.59,9.18,32991739742,39729741599,02-08-2024 22:30,07-08-2024 13:00,9.73,1075.16,1075,89225
res-FQYG4I9V,Cloud CDN,93.0837,GB,us-west1,7.33,92.83,95481842905,99568233782,27-08-2024 04:57,31-08-2024 20:02,4.14,385.37,385,31955
res-95M0B8PU,Cloud Run,77.9,Hours,asia-east1,78.83,83.98,92942659630,93472597444,12-08-2024 20:35,16-08-2024 02:29,4.02,313.16,313,25979
res-YQ03U4NW,BigQuery,702.8504,Requests,australia-southeast1,17.79,85.61,10655239773,18508901027,23-07-2024 11:34,24-07-2024 22:06,2.67,1876.61,1877,155791
res-3ECMMHD3,Cloud Armor,882.3972,Requests,asia-east1,38.05,9.48,45169397512,54583521857,01-07-2024 16:40,05-07-2024 20:30,7.81,6891.52,6892,572036
res-YDYYGRBW,Cloud Armor,95.6382,Requests,us-west1,46.47,46.44,21696064512,24439232161,21-07-2024 04:11,24-07-2024 16:37,2.31,220.92,221,18343
res-T4P2WKQB,Cloud CDN,494.502,GB,australia-southeast1,29.77,58.97,86182660634,87998260723,28-07-2024 09:27,29-07-2024 22:13,9.68,4786.78,4787,397321
res-KA8S76JP,Cloud Dataproc,922.602,Requests,asia-northeast1,26.96,78.62,42388780819,47250108241,22-07-2024 10:43,27-07-2024 18:29,9.49,8755.49,8755,726665
res-HUV1NEIA,Cloud VPN,250.9953,Requests,us-central1,44.11,63.35,46527911504,51328599957,24-08-2024 17:08,27-08-2024 20:39,4.86,1219.84,1220,101260
res-TMUUSOKX,Cloud Memorystore,289.8287,Requests,australia-southeast1,8.77,37.92,94296289933,1.02776E+11,09-07-2024 11:52,12-07-2024 01:05,5.02,1454.94,1455,120765
res-SF4TOUWB,Cloud Spanner,265.6305,Requests,asia-northeast1,13.61,33.39,73610364832,80068828866,21-07-2024 11:35,23-07-2024 13:10,2.52,669.39,669,55527
res-M10NG09Z,Compute Engine,135.35,Hours,us-east1,64.56,81.23,22637099957,23764552187,30-07-2024 23:55,05-08-2024 15:16,5.77,780.97,781,64823
res-LHH3C6YV,Cloud VPC,799.878,Requests,europe-west3,51.03,1.84,47731592778,57265004862,08-08-2024 05:23,12-08-2024 18:25,7.23,5783.12,5783,479989
res-NCB7MZNO,Cloud NAT,137.0785,GB,us-east1,68.78,27.66,59076497181,68646718360,30-07-2024 17:37,05-08-2024 12:42,5.63,771.75,772,64076
res-NPBLNHIG,Cloud Run,130.9667,Hours,europe-west1,30.4,68.73,20878335863,22466351666,16-07-2024 01:23,21-07-2024 12:21,1.84,240.98,241,20003
res-82OZQF0P,Cloud Interconnect,60.418,GB,europe-west1,73.04,7.02,65950112568,67804396568,04-08-2024 14:38,05-08-2024 23:00,7.09,428.36,428,35524
res-YHWPU7BD,Cloud NAT,571.2061,Requests,asia-northeast1,96.9,91.73,15610460343,18782478171,07-08-2024 21:49,10-08-2024 00:44,1.9,1085.29,1085,90055
res-X5BAACYY,Cloud Functions,62.0833,Hours,us-west1,5.5,31.02,98016293910,1.07696E+11,19-07-2024 00:09,21-07-2024 14:14,1.24,76.98,77,6391
res-WM0B0C31,Cloud Data Fusion,453.6261,GB,asia-east1,43.49,25,68066971596,75145648010,09-07-2024 13:24,15-07-2024 02:39,3.7,1678.42,1678,139274
res-FCXPJQYL,Cloud Interconnect,274.034,GB,europe-west1,11.9,67.98,4382792397,9767562785,25-07-2024 01:00,26-07-2024 21:50,2.06,564.51,565,46895
res-38ISYK8S,Cloud Spanner,676.4654,Requests,us-west1,2.68,88.7,87271684521,90506586119,12-08-2024 00:16,16-08-2024 19:00,6.43,4349.67,4350,361050
res-E8NJ0KAF,Cloud VPN,547.5155,Requests,us-east1,93.59,69.43,65049379625,71696600966,16-07-2024 18:05,19-07-2024 20:27,5.71,3126.31,3126,259458
res-1OOHFVAM,Firestore,401.4413,GB,asia-northeast1,46.83,38.33,10445114237,15856476534,19-08-2024 22:23,24-08-2024 06:45,2.83,1136.08,1136,94288
res-A9LFGMQ4,Cloud Storage,427.4798,Requests,northamerica-northeast1,58.13,46.11,58274943500,63345882101,23-07-2024 20:09,27-07-2024 13:20,2.26,966.1,966,80178
res-PDEQJ7U4,Cloud Load Balancing,615.3185,GB,asia-northeast1,16.34,95.4,38141912140,44961747527,19-08-2024 21:55,25-08-2024 17:34,9.3,5722.46,5722,474926
res-LWGX075A,Cloud Dataproc,923.9322,Requests,southamerica-east1,7.35,60.67,69202029280,73959120285,09-07-2024 04:45,10-07-2024 15:26,9.56,8832.79,8833,733139
res-65HI6BOX,Cloud Load Balancing,523.1705,Requests,us-east1,63.29,2.7,70920563187,77653883062,08-08-2024 10:27,14-08-2024 09:13,7.84,4101.66,4102,340466
res-IOPJEVUT,AI Platform,38.4,Hours,europe-west1,8.55,52.81,58846129490,59441536233,08-07-2024 07:00,09-07-2024 21:24,9.67,371.33,371,30793
res-AQX7XE3J,Cloud Load Balancing,577.191,Requests,us-west1,5.13,74.47,66605578559,69688806846,15-07-2024 00:10,17-07-2024 18:23,8.94,5160.09,5160,428280
res-O0TIM29P,Container Registry,320.712,GB,asia-east1,51.38,64.92,6365195429,8569198627,05-08-2024 14:45,10-08-2024 04:45,7.23,2318.75,2319,192477
res-3JKQG3E4,Firestore,25.9515,Requests,us-central1,36.35,48.36,60113044013,62635393177,16-07-2024 15:16,20-07-2024 01:41,4.1,106.4,106,8798
res-TDS8CF7O,Cloud Storage,216.1408,Requests,asia-east1,44.68,72.15,54360034912,58284153066,06-08-2024 22:37,09-08-2024 15:21,1.84,397.7,398,33034
res-KSGEF76B,Cloud Load Balancing,405.8485,Requests,us-west1,0.06,26.34,74333715439,81951096832,10-08-2024 21:29,13-08-2024 14:54,7.66,3108.8,3109,258047
res-7HPPI6FR,Cloud Run,82.8667,Hours,europe-west1,58.16,83.44,40399318096,48297071888,04-08-2024 09:27,07-08-2024 20:19,8.17,677.02,677,56191
res-R357HHSJ,BigQuery,108.1187,Requests,us-east1,65.62,2.46,16232800047,19510703401,05-08-2024 11:05,07-08-2024 16:37,5.04,544.92,545,45235
res-VVSWUAAE,Cloud VPC,371.4837,GB,us-central1,92.77,41.13,33496707994,39632106621,02-08-2024 01:39,05-08-2024 08:21,1.13,419.78,420,34860
res-5YX2EPSC,Cloud Build,940.2852,GB,europe-west1,81.75,33.75,14077225055,20563440420,14-07-2024 01:18,16-07-2024 11:22,5.71,5369.03,5369,445627
res-URCNWFQT,Container Registry,134.4698,GB,southamerica-east1,73.31,17.42,78806557651,81285853739,06-07-2024 00:29,07-07-2024 23:32,3.22,432.99,433,35939
res-BUIL1EJV,Cloud Spanner,267.6789,Requests,asia-east1,21.38,42.53,53588211707,62149387590,16-07-2024 02:46,19-07-2024 04:02,6.2,1659.61,1660,137780
res-VH870SCG,Cloud Functions,138.2667,Hours,asia-southeast1,88.59,93.78,46054613143,50682032060,03-07-2024 08:36,09-07-2024 02:52,5.26,727.28,727,60341
res-QKN93IUQ,Cloud Functions,112.55,Hours,asia-southeast1,35.7,67.45,5111385877,6501324003,20-08-2024 21:57,25-08-2024 14:30,4.79,539.11,539,44737
res-BZBXUZYI,Pub/Sub,381.5112,GB,australia-southeast1,62.25,99.81,60174329539,64004040156,22-07-2024 16:27,28-07-2024 02:16,7.66,2922.38,2922,242526
res-8OXJAS77,Container Registry,896.8482,GB,us-west1,41.92,18.62,92219059947,1.01562E+11,24-08-2024 07:22,26-08-2024 04:31,1.88,1686.07,1686,139938
res-4IJ5Z6XM,Cloud CDN,45.4336,Requests,australia-southeast1,67.64,95.66,46536399963,53165909418,06-08-2024 21:27,09-08-2024 08:23,2.52,114.49,114,9462
res-4RM5Q210,Cloud CDN,483.5996,Requests,asia-northeast1,3.75,27.96,52489355406,58053628767,08-08-2024 06:26,11-08-2024 19:58,3.72,1798.99,1799,149317
res-K36OUS3E,Cloud Dataproc,833.4644,Requests,europe-west1,44.35,6.1,3437493141,6431679144,21-07-2024 17:43,24-07-2024 01:50,4.33,3608.9,3609,299547
res-ZCBXMI9R,Cloud Interconnect,336.8194,GB,us-central1,81.41,14.64,28049316982,31461262667,15-08-2024 18:20,19-08-2024 08:52,4.45,1498.85,1499,124417
res-B8DX6CAK,Cloud Build,645.5661,Requests,northamerica-northeast1,78.94,83.01,9185164573,17039727483,15-08-2024 10:31,20-08-2024 02:23,9.84,6352.37,6352,527216
res-H2ADSWPM,Cloud Build,184.1868,GB,europe-west1,19.59,92.69,3327188954,8818634400,27-07-2024 11:37,01-08-2024 07:45,2.12,390.48,390,32370
res-Z6YLMLP0,Cloud Run,118.8667,Hours,asia-southeast1,51.91,4.78,17654042718,26546624938,17-08-2024 08:40,22-08-2024 07:32,9.05,1075.74,1076,89308
res-A1U5Y9Z5,Cloud VPC,466.6962,Requests,europe-west3,40.42,70.42,79766617491,88136650406,01-08-2024 00:18,03-08-2024 23:54,7.6,3546.89,3547,294401
res-RD9ZXRO7,Cloud Functions,129.45,Hours,us-west1,8.92,70.83,11207230058,17444929033,05-07-2024 10:24,10-07-2024 19:51,7.82,1012.3,1012,83996
res-X4V3GS0X,Cloud Dataproc,479.1793,Requests,us-east1,33.56,71.15,80918182788,83320113115,24-07-2024 08:14,26-07-2024 08:09,2.96,1418.37,1418,117694
res-QZVTIOPY,Cloud Storage,982.2498,Requests,asia-east1,17.08,91.07,13345361356,13858425661,08-07-2024 12:55,12-07-2024 11:48,8.59,8437.53,8438,700354
res-V8M6PWQA,Container Registry,194.8714,GB,asia-southeast1,18.2,26.03,97735710909,1.03576E+11,27-07-2024 02:20,01-08-2024 02:20,2.74,533.95,534,44322
res-3ZENSZLY,Cloud Memorystore,995.4,GB,asia-southeast1,32.11,36.38,37777140467,38001018152,18-07-2024 03:51,19-07-2024 09:41,1.77,1761.86,1762,146246
res-RN9QSQUX,Cloud Functions,83,Hours,europe-west1,68.3,88.53,83987459484,84757771662,22-07-2024 06:08,25-07-2024 17:08,1.83,151.89,152,12616
res-HZFHS19U,Cloud Load Balancing,616.4254,Requests,asia-southeast1,32.51,19.15,25286343338,27269641999,14-07-2024 15:47,20-07-2024 09:15,9.37,5775.91,5776,479408
res-RMKORSAL,Cloud Run,136.75,Hours,europe-west1,4.02,94.8,6223155302,10482162987,03-08-2024 15:34,09-08-2024 08:19,7.49,1024.26,1024,84992
res-SRHDS40W,Pub/Sub,45.1096,Requests,southamerica-east1,6.62,2.48,5964998640,14068838454,06-07-2024 10:53,08-07-2024 06:09,7.8,351.85,352,29216
res-4TY3J9IY,Cloud SQL,948.5312,Requests,us-central1,74.25,80.49,57735263274,58051523084,15-07-2024 02:42,17-07-2024 22:58,6.15,5833.47,5833,484139
res-A8ISV5AK,Firestore,457.1743,GB,europe-west3,50.29,51.26,47312241597,53532146138,28-08-2024 15:03,02-09-2024 05:10,3.17,1449.24,1449,120267
res-C2XM3T1J,Dataflow,40.4833,Hours,asia-east1,85.18,32.81,24102967462,28484820198,02-07-2024 20:56,04-07-2024 13:25,6.88,278.53,279,23157
res-YO1RR5X7,AI Platform,89.5833,Hours,europe-west1,63.73,82.35,13766036928,14907381903,27-08-2024 13:56,31-08-2024 07:31,6.09,545.56,546,45318
res-JZACY5C6,Cloud Build,203.1992,Requests,asia-east1,40.52,68.48,63199644696,63454138860,15-07-2024 13:56,17-07-2024 11:43,4.16,845.31,845,70135
res-D21R9SB1,Cloud Storage,407.7949,Requests,europe-west3,9.69,65.3,54268857907,62015184822,28-08-2024 01:58,30-08-2024 07:14,2.27,925.69,926,76858
res-WU10MTCT,BigQuery,210.4333,GB,southamerica-east1,84.06,56.96,68388437354,76892712268,24-07-2024 04:21,27-07-2024 11:12,3.63,763.87,764,63412
res-9VSL8AKL,Cloud CDN,687.6223,GB,asia-southeast1,71.14,94.07,38892223577,40407543548,02-07-2024 14:58,06-07-2024 07:24,2.39,1643.42,1643,136369
res-XQ2SNANY,Cloud SQL,479.8823,Requests,europe-north1,77.45,1.08,72020991027,72727629424,28-08-2024 17:20,31-08-2024 05:01,8.15,3911.04,3911,324613
res-DM1O00MA,Compute Engine,109.9833,Hours,asia-northeast1,32.21,24.58,16213958271,19574357777,12-07-2024 10:43,17-07-2024 00:42,6.18,679.7,680,56440
res-1KZU3DQJ,Cloud CDN,277.6608,Requests,us-east1,66.09,22.93,73947753429,74062804247,08-08-2024 07:37,10-08-2024 13:13,3.82,1060.66,1061,88063
res-J34Y24JL,Cloud NAT,941.414,Requests,europe-west1,68.48,73,4028608736,10733576597,09-07-2024 15:25,14-07-2024 23:33,6.86,6458.1,6458,536014
res-88VX0F0Q,Pub/Sub,381.8599,GB,asia-northeast1,4.46,99.8,41790748625,43925495516,19-07-2024 22:25,25-07-2024 03:22,5.71,2180.42,2180,180940
res-0C0LFDHN,Cloud Interconnect,747.7278,GB,asia-southeast1,29.11,28.36,57109742860,66197385049,06-08-2024 06:33,08-08-2024 14:03,7.86,5877.14,5877,487791
res-PN87VCFD,Cloud CDN,515.3703,Requests,europe-north1,20.74,98.76,88335739819,96914457716,12-07-2024 17:43,15-07-2024 07:54,9.55,4921.79,4922,408526
res-J5Y0L80C,Cloud Run,71.4,Hours,us-central1,60.35,81.87,1031886918,2820539317,19-07-2024 18:28,22-07-2024 17:52,3.05,217.77,218,18094
res-WYVJMQ5V,Cloud Endpoints,177.7278,GB,southamerica-east1,40.15,7.95,92640197584,92794051251,10-07-2024 18:36,12-07-2024 10:07,6.65,1181.89,1182,98106
res-46F0DI7D,Cloud Functions,70.9,Hours,australia-southeast1,99.65,64.13,69458668373,74057033715,21-07-2024 08:55,24-07-2024 07:49,6.52,462.27,462,38346
res-AUBOWRG6,Pub/Sub,417.5436,GB,southamerica-east1,26.2,39.45,83207228959,87342143354,27-07-2024 12:30,02-08-2024 11:18,5.3,2212.98,2213,183679
res-V6XDWUHS,Cloud Build,64.1684,Requests,us-west1,98.89,90.96,28166238801,33532968220,07-08-2024 08:44,10-08-2024 15:48,1.83,117.43,117,9711
res-A2IYLGCP,Cloud Build,119.3159,Requests,asia-southeast1,22.8,42.14,2857084277,10388720149,24-07-2024 06:49,28-07-2024 19:12,7.93,946.18,946,78518
res-YM61GD4T,AI Platform,62.4667,Hours,asia-northeast1,13.03,88.6,56299065995,58695200121,26-07-2024 21:49,29-07-2024 12:17,9.62,600.93,601,49883
res-B1KP68K8,Cloud Functions,60.7,Hours,asia-southeast1,38.88,59.1,34279058769,34342664992,08-07-2024 14:28,11-07-2024 03:10,6.52,395.76,396,32868
res-456UVDXI,Cloud Build,331.7406,Requests,asia-east1,8.42,45.09,81905519820,86264730884,16-08-2024 06:06,20-08-2024 21:26,3.09,1025.08,1025,85075
res-N5X9BFE3,AI Platform,125.55,Hours,asia-east1,17.84,37.57,75269655994,80834842700,26-08-2024 01:14,31-08-2024 06:47,9.55,1199,1199,99517
res-919DA5VW,Cloud Dataproc,163.075,Requests,europe-north1,20.21,93.53,78724192890,83475645504,03-08-2024 02:12,08-08-2024 05:54,3.32,541.41,541,44903
res-DE1PLN2D,Cloud NAT,724.7898,GB,southamerica-east1,73.18,60.63,78477752098,88271877239,26-07-2024 09:39,31-07-2024 19:10,9.79,7095.69,7096,588968
res-ZVWW1WO8,BigQuery,589.1842,GB,asia-east1,69.14,13.82,87811828441,94364577288,29-08-2024 15:21,03-09-2024 14:19,7.93,4672.23,4672,387776
res-OXE22REJ,Cloud Endpoints,295.4871,Requests,asia-east1,38.52,27.02,3592743618,7584104509,10-07-2024 17:18,12-07-2024 06:23,3.76,1111.03,1111,92213
res-ILI945FI,Cloud Run,93.4167,Hours,australia-southeast1,39.06,68.85,99747398472,1.06154E+11,13-08-2024 08:15,17-08-2024 05:40,3.94,368.06,368,30544
res-MDO55NUJ,Cloud Run,46.3667,Hours,europe-north1,26.96,61.26,28651012140,36341944171,27-07-2024 11:07,29-07-2024 09:29,2.9,134.46,134,11122
res-XRQLR0TM,BigQuery,406.9697,GB,us-west1,75.97,35.59,71136873838,79539464593,29-07-2024 09:30,31-07-2024 14:19,2.95,1200.56,1201,99683
res-VP7PCV8U,Cloud Endpoints,778.2469,GB,australia-southeast1,1.26,40.65,24624786354,32975101756,27-08-2024 23:40,29-08-2024 21:42,5.55,4319.27,4319,358477
res-1JUX8LS9,Cloud Functions,118.1,Hours,us-central1,84.66,59.16,4773068726,5717129990,03-07-2024 20:46,08-07-2024 18:52,3.34,394.45,394,32702
res-PVXWL5C0,Dataflow,86.9833,Hours,us-central1,95.91,89.27,70761031842,79512127244,10-07-2024 12:05,14-07-2024 03:04,7.63,663.68,664,55112
res-1YJWKW8I,Cloud CDN,406.7662,Requests,europe-north1,61.25,52.83,36836744438,44586206736,23-07-2024 16:50,25-07-2024 12:07,8.65,3518.53,3519,292077
res-G71C069R,Pub/Sub,675.0447,Requests,europe-west1,31.52,46.67,34586931717,43826455816,29-07-2024 00:28,30-07-2024 15:50,8.47,5717.63,5718,474594
